ID,Nombre,Estado,URL,Fecha de Actualización
2,SIGU Intranet,online,https://sigu.autonomadeica.edu.pe,2024-11-21 16:08:16
3,ELIBRO,online,https://elibro.net/es/lc/autonomadeica/inicio,2024-11-21 16:08:16
4,Repositorio,online,https://repositorio.autonomadeica.edu.pe,2024-11-21 16:08:16
6,Goggle,online,https://www.google.com,2024-11-21 16:08:16
7,SIGU ADMIN,online,https://sigu.autonomadeica.edu.pe/admin/inicio,2024-11-21 16:08:16
8,SIGU ALUMNO,online,https://sigu.autonomadeica.edu.pe/alumno/entrar,2024-11-21 16:08:16
11,DIPI 2,online,https://dipi.autonomadeica.edu.pe/rai,2024-11-21 16:08:16
12,GITHUB,online,https://github.com,2024-11-21 16:08:16
13,JEDU,online,https://autonomadeica.jedu.pe,2024-11-21 16:08:16
17,GOOGLE 2,online,https://www.google.com,2024-11-21 16:08:16
21,AUTONOMA,online,https://autonomadeica.com,2024-11-21 16:08:16
22,DIPI PRUEBA,offline,http://dipi.autonomadeica.edu.pe:5000,2024-11-21 16:08:16
24,LOGIN AULA VIRTUAL,online,https://aulavirtual.autonomadeica.edu.pe/login/index.php,2024-11-21 16:08:16

ID,Nombre,Fecha de Cambio,Estado Anterior,Estado Actual,Duración (Horas)
2,SIGU Intranet,2024-11-20 20:19:54,online,online,0
2,SIGU Intranet,2024-11-20 20:21:11,online,online,0
2,SIGU Intranet,2024-11-20 20:22:28,online,online,0
2,SIGU Intranet,2024-11-20 20:23:45,online,online,0
2,SIGU Intranet,2024-11-20 20:25:03,online,online,0
2,SIGU Intranet,2024-11-20 20:26:21,online,online,0
2,SIGU Intranet,2024-11-20 20:27:37,online,online,0
2,SIGU Intranet,2024-11-20 20:28:55,online,online,0
2,SIGU Intranet,2024-11-20 20:30:11,online,online,0
2,SIGU Intranet,2024-11-20 20:31:36,online,online,0
2,SIGU Intranet,2024-11-20 20:32:54,online,online,0
2,SIGU Intranet,2024-11-20 20:34:11,online,online,0
2,SIGU Intranet,2024-11-20 20:35:27,online,online,0
2,SIGU Intranet,2024-11-20 20:36:45,online,online,0
2,SIGU Intranet,2024-11-20 20:38:01,online,online,0
2,SIGU Intranet,2024-11-20 20:39:19,online,online,0
2,SIGU Intranet,2024-11-20 20:40:36,online,online,0
2,SIGU Intranet,2024-11-20 20:41:57,online,online,0
2,SIGU Intranet,2024-11-20 20:43:13,online,online,0
2,SIGU Intranet,2024-11-20 20:44:31,online,online,0
2,SIGU Intranet,2024-11-20 20:45:51,online,online,0
2,SIGU Intranet,2024-11-20 20:47:09,online,online,0
2,SIGU Intranet,2024-11-20 20:48:26,online,online,0
2,SIGU Intranet,2024-11-20 20:49:44,online,online,0
2,SIGU Intranet,2024-11-20 20:51:01,online,online,0
2,SIGU Intranet,2024-11-20 20:52:18,online,online,0
2,SIGU Intranet,2024-11-20 20:53:36,online,online,0
2,SIGU Intranet,2024-11-20 20:54:52,online,online,0
2,SIGU Intranet,2024-11-20 20:56:10,online,online,0
2,SIGU Intranet,2024-11-20 20:57:26,online,online,0
2,SIGU Intranet,2024-11-20 20:58:51,online,online,0
2,SIGU Intranet,2024-11-20 21:00:07,online,online,0
2,SIGU Intranet,2024-11-20 21:01:25,online,online,0
2,SIGU Intranet,2024-11-20 21:02:43,online,online,0
2,SIGU Intranet,2024-11-20 21:04:00,online,online,0
2,SIGU Intranet,2024-11-20 21:05:16,online,online,0
2,SIGU Intranet,2024-11-20 21:06:34,online,online,0
2,SIGU Intranet,2024-11-20 21:07:50,online,online,0
2,SIGU Intranet,2024-11-20 21:09:08,online,online,0
2,SIGU Intranet,2024-11-20 21:10:25,online,online,0
2,SIGU Intranet,2024-11-20 21:11:48,online,online,0
2,SIGU Intranet,2024-11-20 21:13:05,online,online,0
2,SIGU Intranet,2024-11-20 21:14:21,online,online,0
2,SIGU Intranet,2024-11-20 21:15:38,online,online,0
2,SIGU Intranet,2024-11-20 21:16:55,online,online,0
2,SIGU Intranet,2024-11-20 21:18:12,online,online,0
2,SIGU Intranet,2024-11-20 21:19:28,online,online,0
2,SIGU Intranet,2024-11-20 21:20:46,online,online,0
2,SIGU Intranet,2024-11-20 21:22:02,online,online,0
2,SIGU Intranet,2024-11-20 21:23:19,online,online,0
2,SIGU Intranet,2024-11-20 21:24:36,online,online,0
2,SIGU Intranet,2024-11-20 21:25:53,online,online,0
2,SIGU Intranet,2024-11-20 21:27:10,online,online,0
2,SIGU Intranet,2024-11-20 21:28:28,online,online,0
2,SIGU Intranet,2024-11-20 21:29:46,online,online,0
2,SIGU Intranet,2024-11-20 21:31:03,online,online,0
2,SIGU Intranet,2024-11-20 21:32:20,online,online,0
2,SIGU Intranet,2024-11-20 21:33:38,online,online,0
2,SIGU Intranet,2024-11-20 21:34:55,online,online,0
2,SIGU Intranet,2024-11-20 21:36:13,online,online,0
2,SIGU Intranet,2024-11-20 21:37:30,online,online,0
2,SIGU Intranet,2024-11-20 21:38:47,online,online,0
2,SIGU Intranet,2024-11-20 21:40:05,online,online,0
2,SIGU Intranet,2024-11-20 21:41:22,online,online,0
2,SIGU Intranet,2024-11-20 21:42:39,online,online,0
2,SIGU Intranet,2024-11-20 21:43:56,online,online,0
2,SIGU Intranet,2024-11-20 21:45:13,online,online,0
2,SIGU Intranet,2024-11-20 21:46:29,online,online,0
2,SIGU Intranet,2024-11-20 21:47:50,online,online,0
2,SIGU Intranet,2024-11-20 21:49:06,online,online,0
2,SIGU Intranet,2024-11-20 21:50:23,online,online,0
2,SIGU Intranet,2024-11-20 21:51:41,online,online,0
2,SIGU Intranet,2024-11-20 21:52:58,online,online,0
2,SIGU Intranet,2024-11-20 21:54:14,online,online,0
2,SIGU Intranet,2024-11-20 21:55:31,online,online,0
2,SIGU Intranet,2024-11-20 21:56:49,online,online,0
2,SIGU Intranet,2024-11-20 21:58:05,online,online,0
2,SIGU Intranet,2024-11-20 21:59:22,online,online,0
2,SIGU Intranet,2024-11-20 22:00:40,online,online,0
2,SIGU Intranet,2024-11-20 22:01:57,online,online,0
2,SIGU Intranet,2024-11-20 22:03:14,online,online,0
2,SIGU Intranet,2024-11-20 22:04:31,online,online,0
2,SIGU Intranet,2024-11-20 22:05:52,online,online,0
2,SIGU Intranet,2024-11-20 22:07:13,online,online,0
2,SIGU Intranet,2024-11-20 22:08:30,online,online,0
2,SIGU Intranet,2024-11-20 22:09:47,online,online,0
2,SIGU Intranet,2024-11-20 22:11:04,online,online,0
2,SIGU Intranet,2024-11-20 22:12:22,online,online,0
2,SIGU Intranet,2024-11-20 22:13:39,online,online,0
2,SIGU Intranet,2024-11-20 22:14:56,online,online,0
2,SIGU Intranet,2024-11-20 22:16:13,online,online,0
2,SIGU Intranet,2024-11-20 22:17:32,online,online,0
2,SIGU Intranet,2024-11-20 22:18:49,online,online,0
2,SIGU Intranet,2024-11-20 22:20:07,online,online,0
2,SIGU Intranet,2024-11-20 22:21:24,online,online,0
2,SIGU Intranet,2024-11-20 22:22:40,online,online,0
2,SIGU Intranet,2024-11-20 22:23:57,online,online,0
2,SIGU Intranet,2024-11-20 22:25:13,online,online,0
2,SIGU Intranet,2024-11-20 22:26:30,online,online,0
